farmer_id,farmer_name,village,region,cattle_count,avg_daily_litres,fat_avg,protein_avg,years_with_amul,payment_per_litre
F0029,Farmer 29,Village 35,Delhi,62,59.3,3.78,3.37,28,37.23
F0030,Farmer 30,Village 36,West Bengal,17,34.2,5.0,3.67,3,37.26
F0031,Farmer 31,Village 11,Delhi,57,156.0,3.82,3.32,2,29.65
F0032,Farmer 32,Village 25,Gujarat,38,279.4,4.68,3.23,23,37.57
F0033,Farmer 33,Village 10,West Bengal,29,103.1,4.95,3.46,18,28.61
F0034,Farmer 34,Village 4,Karnataka,11,183.6,4.25,3.68,6,28.57
F0035,Farmer 35,Village 12,Maharashtra,13,186.6,4.51,3.19,4,37.42
F0036,Farmer 36,Village 38,Delhi,10,193.4,4.13,3.47,17,31.16
F0037,Farmer 37,Village 14,Uttar Pradesh,45,86.8,4.09,3.54,10,32.57
F0038,Farmer 38,Village 1,Maharashtra,63,193.9,4.34,3.08,18,30.13
F0039,Farmer 39,Village 9,Uttar Pradesh,49,266.6,4.82,3.3,6,32.38
F0040,Farmer 40,Village 40,Uttar Pradesh,72,22.2,4.73,3.24,22,29.04
F0041,Farmer 41,Village 17,Rajasthan,19,269.1,4.61,3.12,10,34.05
F0042,Farmer 42,Village 14,Karnataka,38,161.5,3.88,3.73,2,28.92
F0043,Farmer 43,Village 18,Tamil Nadu,10,21.0,4.66,3.51,9,29.62
F0044,Farmer 44,Village 36,West Bengal,59,177.1,3.67,3.76,23,37.04
F0045,Farmer 45,Village 24,Gujarat,79,174.7,4.14,3.03,12,36.99
F0046,Farmer 46,Village 23,Gujarat,31,211.0,4.5,3.28,18,36.84
F0047,Farmer 47,Village 40,Tamil Nadu,24,279.2,3.86,3.13,26,36.11
F0048,Farmer 48,Village 2,Tamil Nadu,27,226.2,4.0,3.74,26,34.7
F0049,Farmer 49,Village 18,Delhi,25,240.5,3.66,3.7,28,32.71
F0050,Farmer 50,Village 30,Delhi,49,105.5,4.69,3.18,1,34.6
F0051,Farmer 51,Village 22,Tamil Nadu,40,262.0,4.95,3.22,21,33.09
F0052,Farmer 52,Village 2,Karnataka,19,265.6,3.89,3.46,9,28.38
F0053,Farmer 53,Village 23,Tamil Nadu,45,142.2,4.98,3.09,29,33.77
F0054,Farmer 54,Village 3,Uttar Pradesh,60,20.5,4.89,3.43,24,37.4
F0055,Farmer 55,Village 24,Delhi,60,39.6,4.5,3.26,11,34.63
F0056,Farmer 56,Village 47,Maharashtra,43,162.0,4.5,3.26,23,30.96
F0057,Farmer 57,Village 13,Rajasthan,58,206.2,4.07,3.6,6,34.16
F0058,Farmer 58,Village 26,Uttar Pradesh,75,253.4,3.96,3.17,26,33.8
F0059,Farmer 59,Village 30,Karnataka,61,143.8,3.82,3.38,29,37.6
F0060,Farmer 60,Village 43,Rajasthan,15,99.5,4.5,3.5,3,36.18
F0061,Farmer 61,Village 44,Delhi,44,82.9,3.8,3.02,8,37.84
F0062,Farmer 62,Village 30,Maharashtra,58,268.1,4.36,3.57,13,32.94
F0063,Farmer 63,Village 10,Delhi,5,269.9,4.79,3.71,25,32.25
F0064,Farmer 64,Village 45,Rajasthan,71,150.1,4.34,3.73,4,32.56
F0065,Farmer 65,Village 43,West Bengal,72,296.6,4.39,3.76,29,32.43
F0066,Farmer 66,Village 36,Tamil Nadu,62,271.2,4.62,3.38,9,35.52
F0067,Farmer 67,Village 50,Uttar Pradesh,71,155.7,3.86,3.35,23,30.86
F0068,Farmer 68,Village 22,Uttar Pradesh,45,270.0,3.62,3.12,13,34.94
F0069,Farmer 69,Village 5,Delhi,58,134.1,4.31,3.33,7,36.33
F0070,Farmer 70,Village 50,Tamil Nadu,79,284.9,3.53,3.7,19,31.8
F0071,Farmer 71,Village 23,Gujarat,43,231.0,4.78,3.76,14,33.38
F0072,Farmer 72,Village 32,Delhi,33,96.4,4.23,3.31,22,34.79
F0073,Farmer 73,Village 47,Tamil Nadu,26,255.3,4.88,3.78,18,28.27
F0074,Farmer 74,Village 38,Tamil Nadu,77,205.6,3.63,3.34,28,32.62
F0075,Farmer 75,Village 17,Gujarat,53,111.7,4.18,3.27,29,31.79
F0076,Farmer 76,Village 17,Tamil Nadu,15,151.7,4.62,3.04,12,30.24
F0077,Farmer 77,Village 50,Maharashtra,10,231.2,4.92,3.16,1,34.21
F0078,Farmer 78,Village 9,Delhi,65,207.4,4.35,3.17,23,30.56
F0079,Farmer 79,Village 11,Karnataka,19,237.8,3.75,3.25,19,28.26
F0080,Farmer 80,Village 37,Uttar Pradesh,53,131.1,4.57,3.06,23,36.31
F0081,Farmer 81,Village 7,Delhi,43,258.1,4.4,3.1,19,35.83
F0082,Farmer 82,Village 35,Karnataka,59,205.2,3.6,3.52,1,36.5
F0083,Farmer 83,Village 7,West Bengal,60,289.0,4.45,3.66,23,29.53
F0084,Farmer 84,Village 47,Rajasthan,71,290.3,3.91,3.65,18,35.75
F0085,Farmer 85,Village 28,West Bengal,80,95.2,4.78,3.66,3,30.79
F0086,Farmer 86,Village 16,West Bengal,64,179.6,4.5,3.27,16,36.51
F0087,Farmer 87,Village 32,Rajasthan,32,119.4,3.89,3.22,20,35.01
F0088,Farmer 88,Village 36,Uttar Pradesh,6,164.7,3.79,3.19,14,32.89
F0089,Farmer 89,Village 45,Delhi,65,200.9,4.24,3.63,3,30.94
F0090,Farmer 90,Village 45,Tamil Nadu,36,105.7,4.37,3.38,17,31.44
F0091,Farmer 91,Village 23,Karnataka,63,95.9,3.88,3.1,7,31.16
F0092,Farmer 92,Village 13,Rajasthan,32,226.8,3.91,3.47,25,33.25
F0093,Farmer 93,Village 7,Uttar Pradesh,29,102.9,4.04,3.24,23,33.34
F0094,Farmer 94,Village 3,Uttar Pradesh,11,174.9,4.55,3.1,28,35.53
F0095,Farmer 95,Village 1,Maharashtra,78,99.6,4.22,3.27,2,30.52
F0096,Farmer 96,Village 8,West Bengal,13,132.2,3.61,3.5,2,29.52
F0097,Farmer 97,Village 6,Uttar Pradesh,36,53.2,4.65,3.49,26,34.18
F0098,Farmer 98,Village 29,Tamil Nadu,61,103.3,4.38,3.34,19,34.21
F0099,Farmer 99,Village 49,Maharashtra,31,195.1,3.9,3.06,8,29.74
F0100,Farmer 100,Village 11,Maharashtra,5,134.4,4.53,3.38,2,30.31
F0101,Farmer 101,Village 45,Uttar Pradesh,63,39.9,3.85,3.21,26,34.25
F0102,Farmer 102,Village 28,Delhi,19,172.5,4.47,3.73,27,29.42
F0103,Farmer 103,Village 11,Gujarat,44,186.6,4.74,3.74,15,29.24
F0104,Farmer 104,Village 45,Uttar Pradesh,56,283.9,4.25,3.4,3,33.98
F0105,Farmer 105,Village 48,Tamil Nadu,46,189.0,3.54,3.18,22,36.36
F0106,Farmer 106,Village 49,Gujarat,39,181.3,4.64,3.14,17,34.52
F0107,Farmer 107,Village 12,Uttar Pradesh,79,142.0,4.72,3.78,16,31.48
F0108,Farmer 108,Village 21,Karnataka,18,260.2,3.99,3.55,10,34.63
F0109,Farmer 109,Village 49,Tamil Nadu,75,30.3,3.63,3.2,4,37.7
F0110,Farmer 110,Village 33,Tamil Nadu,5,204.1,4.31,3.33,7,33.18
F0111,Farmer 111,Village 41,West Bengal,61,232.8,3.81,3.44,30,30.88
F0112,Farmer 112,Village 8,West Bengal,8,292.5,4.41,3.19,6,31.11
F0113,Farmer 113,Village 36,Gujarat,57,46.1,4.99,3.73,15,37.47
F0114,Farmer 114,Village 32,Rajasthan,42,162.5,3.91,3.67,16,30.44
F0115,Farmer 115,Village 25,Rajasthan,29,278.1,4.26,3.7,28,28.7
F0116,Farmer 116,Village 22,Tamil Nadu,69,94.8,3.5,3.58,27,33.87
F0117,Farmer 117,Village 10,West Bengal,62,170.8,4.02,3.44,18,31.77
F0118,Farmer 118,Village 13,Karnataka,35,180.1,3.85,3.62,2,31.18
F0119,Farmer 119,Village 46,West Bengal,53,128.1,4.5,3.66,5,32.95
F0120,Farmer 120,Village 9,Gujarat,69,290.3,4.0,3.08,28,32.4
F0121,Farmer 121,Village 1,West Bengal,23,134.8,4.48,3.12,16,35.82
F0122,Farmer 122,Village 22,Uttar Pradesh,55,202.0,4.78,3.68,28,33.34
F0123,Farmer 123,Village 41,Karnataka,67,264.3,3.55,3.05,21,34.84
F0124,Farmer 124,Village 15,Uttar Pradesh,16,141.5,3.65,3.51,28,29.01
F0125,Farmer 125,Village 45,Rajasthan,43,273.0,3.57,3.64,10,31.58
F0126,Farmer 126,Village 10,Tamil Nadu,36,168.7,4.35,3.63,6,29.75
F0127,Farmer 127,Village 40,Tamil Nadu,35,159.3,4.37,3.19,21,30.54
F0128,Farmer 128,Village 43,Uttar Pradesh,6,271.7,4.2,3.23,18,29.58
F0129,Farmer 129,Village 23,West Bengal,80,103.8,4.94,3.55,15,36.45
F0130,Farmer 130,Village 25,Delhi,66,49.9,4.07,3.29,10,37.93
F0131,Farmer 131,Village 2,Uttar Pradesh,55,96.9,4.35,3.55,24,37.74
F0132,Farmer 132,Village 19,West Bengal,34,190.0,4.03,3.51,20,30.51
F0133,Farmer 133,Village 41,Rajasthan,17,273.0,4.47,3.25,15,28.33
F0134,Farmer 134,Village 47,Karnataka,21,45.2,3.94,3.6,6,30.01
F0135,Farmer 135,Village 34,Karnataka,69,275.8,4.75,3.21,27,37.44
F0136,Farmer 136,Village 48,Uttar Pradesh,48,245.2,4.2,3.06,25,37.67
F0137,Farmer 137,Village 36,Tamil Nadu,51,45.3,4.09,3.21,4,32.55
F0138,Farmer 138,Village 38,Uttar Pradesh,53,250.3,4.91,3.09,8,32.71
F0139,Farmer 139,Village 40,Karnataka,33,201.3,4.45,3.37,23,31.02
F0140,Farmer 140,Village 8,Tamil Nadu,22,32.7,3.56,3.8,4,28.97
F0141,Farmer 141,Village 25,Rajasthan,63,123.9,4.92,3.56,18,32.19
F0142,Farmer 142,Village 27,Rajasthan,17,253.4,4.42,3.75,9,28.33
F0143,Farmer 143,Village 14,Karnataka,61,144.5,3.85,3.29,22,31.67
F0144,Farmer 144,Village 4,Karnataka,55,97.2,4.95,3.76,27,32.55
F0145,Farmer 145,Village 42,Delhi,7,34.2,4.0,3.79,26,33.65
F0146,Farmer 146,Village 49,Maharashtra,75,78.0,3.82,3.7,11,35.74
F0147,Farmer 147,Village 18,Gujarat,23,296.5,4.31,3.64,4,34.61
F0148,Farmer 148,Village 9,Gujarat,6,120.3,4.68,3.47,1,29.74
F0149,Farmer 149,Village 9,Gujarat,58,167.3,4.62,3.38,25,31.62
F0150,Farmer 150,Village 29,Maharashtra,69,82.0,4.42,3.58,30,36.67
F0151,Farmer 151,Village 30,Uttar Pradesh,8,37.0,4.22,3.32,22,29.08
F0152,Farmer 152,Village 5,West Bengal,15,110.2,3.72,3.1,20,34.33
F0153,Farmer 153,Village 25,Karnataka,72,102.6,4.26,3.34,26,35.02
F0154,Farmer 154,Village 28,Delhi,62,268.7,4.12,3.66,13,32.16
F0155,Farmer 155,Village 21,Maharashtra,59,107.5,3.88,3.76,22,37.23
F0156,Farmer 156,Village 6,Maharashtra,15,46.1,3.64,3.59,26,29.3
F0157,Farmer 157,Village 38,Gujarat,76,177.3,4.51,3.33,28,34.65
F0158,Farmer 158,Village 47,Tamil Nadu,11,291.2,4.4,3.28,19,33.07
F0159,Farmer 159,Village 43,Rajasthan,66,82.8,3.66,3.68,12,29.15
F0160,Farmer 160,Village 37,Uttar Pradesh,33,246.0,4.77,3.78,27,34.22
F0161,Farmer 161,Village 39,Gujarat,39,28.1,3.91,3.61,30,31.4
F0162,Farmer 162,Village 12,Gujarat,23,178.6,4.1,3.11,21,37.72
F0163,Farmer 163,Village 48,Maharashtra,72,80.2,4.13,3.27,12,31.12
F0164,Farmer 164,Village 50,Karnataka,77,186.9,4.83,3.12,25,34.18
F0165,Farmer 165,Village 18,Maharashtra,61,205.3,4.23,3.35,9,30.16
F0166,Farmer 166,Village 23,Maharashtra,60,51.0,4.52,3.47,17,34.67
F0167,Farmer 167,Village 15,Gujarat,55,295.6,3.58,3.16,7,35.67
F0168,Farmer 168,Village 19,Uttar Pradesh,46,53.6,4.25,3.34,5,31.8
F0169,Farmer 169,Village 33,Delhi,76,253.3,4.71,3.06,28,35.42
F0170,Farmer 170,Village 2,Tamil Nadu,63,277.9,4.79,3.46,19,32.04
F0171,Farmer 171,Village 19,Tamil Nadu,19,133.4,4.95,3.14,20,32.6
F0172,Farmer 172,Village 6,Karnataka,60,256.5,3.86,3.47,17,28.79
F0173,Farmer 173,Village 48,Uttar Pradesh,48,82.0,4.67,3.06,21,29.14
F0174,Farmer 174,Village 50,Delhi,49,118.3,4.94,3.52,5,30.36
F0175,Farmer 175,Village 17,Rajasthan,30,68.6,3.73,3.61,3,29.77
F0176,Farmer 176,Village 30,West Bengal,77,232.8,4.17,3.74,19,34.43
F0177,Farmer 177,Village 41,Karnataka,45,62.3,3.6,3.35,10,35.96
F0178,Farmer 178,Village 23,Gujarat,69,40.8,4.19,3.03,12,36.32
F0179,Farmer 179,Village 42,Maharashtra,16,192.2,4.26,3.37,18,37.54
F0180,Farmer 180,Village 29,Gujarat,78,202.5,3.98,3.38,5,37.58
F0181,Farmer 181,Village 7,West Bengal,48,295.1,3.63,3.52,2,30.48
F0182,Farmer 182,Village 29,West Bengal,72,166.4,3.74,3.3,10,31.87
F0183,Farmer 183,Village 44,Karnataka,11,241.0,4.47,3.05,4,33.58
F0184,Farmer 184,Village 19,Tamil Nadu,37,222.6,4.48,3.73,28,29.5
F0185,Farmer 185,Village 38,Maharashtra,23,276.7,3.97,3.52,22,31.92
F0186,Farmer 186,Village 20,Maharashtra,76,125.5,4.69,3.65,22,35.03
F0187,Farmer 187,Village 42,Maharashtra,59,162.4,3.53,3.25,7,31.42
F0188,Farmer 188,Village 13,West Bengal,33,300.0,3.73,3.24,26,29.01
F0189,Farmer 189,Village 43,Gujarat,48,265.4,4.43,3.48,5,29.62
F0190,Farmer 190,Village 47,Rajasthan,61,32.2,4.05,3.58,15,34.11
F0191,Farmer 191,Village 15,West Bengal,73,87.0,4.95,3.63,29,36.35
F0192,Farmer 192,Village 44,Karnataka,78,295.6,4.19,3.23,13,33.03
F0193,Farmer 193,Village 11,Tamil Nadu,30,244.4,3.71,3.2,21,32.81
F0194,Farmer 194,Village 36,Karnataka,18,219.2,4.27,3.1,3,35.63
F0195,Farmer 195,Village 29,Uttar Pradesh,70,61.3,4.16,3.76,8,36.17
F0196,Farmer 196,Village 2,Karnataka,58,34.9,4.25,3.19,3,31.75
F0197,Farmer 197,Village 21,Gujarat,17,255.0,4.47,3.63,5,28.38
F0198,Farmer 198,Village 45,West Bengal,22,232.5,4.2,3.49,29,28.79
F0199,Farmer 199,Village 14,Uttar Pradesh,24,173.7,4.59,3.42,4,35.76
F0200,Farmer 200,Village 20,Delhi,20,33.4,4.13,3.64,15,28.63
